,Reactions,Reactants_canonical,Products_canonical,counts,reactant_smiles_am,product_smiles_am
0,[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8].[P:13]([H:14])([H:15])[H:16]>>[C@:1]([C@@:2]([C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])([H:9])[P:13]([H:14])[H:15])([H:7])([H:8])[H:16],C=CC(=O)OC.P,COC(=O)[C@@H](C)P,7.0,[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8].[P:13]([H:14])([H:15])[H:16],[C@:1]([C@@:2]([C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])([H:9])[P:13]([H:14])[H:15])([H:7])([H:8])[H:16]
1,[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8].[P:13]([H:14])([H:15])[H:16]>>[C@:1]([C@@:2]([C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])([H:9])[P:13]([H:14])[H:16])([H:7])([H:8])[H:15],C=CC(=O)OC.P,COC(=O)[C@@H](C)P,7.0,[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8].[P:13]([H:14])([H:15])[H:16],[C@:1]([C@@:2]([C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])([H:9])[P:13]([H:14])[H:16])([H:7])([H:8])[H:15]
2,[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8].[P:13]([H:14])([H:15])[H:16]>>[C@:1]([C@@:2]([C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])([H:9])[P:13]([H:15])[H:16])([H:7])([H:8])[H:14],C=CC(=O)OC.P,COC(=O)[C@@H](C)P,6.0,[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8].[P:13]([H:14])([H:15])[H:16],[C@:1]([C@@:2]([C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])([H:9])[P:13]([H:15])[H:16])([H:7])([H:8])[H:14]
3,[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8].[P:13]([H:14])([H:15])[H:16]>>[C@@:1]([C@:2]([C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])([H:9])[P:13]([H:14])[H:15])([H:7])([H:8])[H:16],C=CC(=O)OC.P,COC(=O)[C@H](C)P,5.0,[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8].[P:13]([H:14])([H:15])[H:16],[C@@:1]([C@:2]([C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])([H:9])[P:13]([H:14])[H:15])([H:7])([H:8])[H:16]
4,[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8].[P:13]([H:14])([H:15])[H:16]>>[C@@:1]([C@:2]([C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])([H:9])[P:13]([H:14])[H:16])([H:7])([H:8])[H:15],C=CC(=O)OC.P,COC(=O)[C@H](C)P,5.0,[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8].[P:13]([H:14])([H:15])[H:16],[C@@:1]([C@:2]([C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])([H:9])[P:13]([H:14])[H:16])([H:7])([H:8])[H:15]
5,[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8].[P:13]([H:14])([H:15])[H:16]>>[C@@:1]([C@:2]([C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])([H:9])[P:13]([H:15])[H:16])([H:7])([H:8])[H:14],C=CC(=O)OC.P,COC(=O)[C@H](C)P,4.0,[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8].[P:13]([H:14])([H:15])[H:16],[C@@:1]([C@:2]([C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])([H:9])[P:13]([H:15])[H:16])([H:7])([H:8])[H:14]
6,[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8].[P:13]([H:14])([H:15])[H:16]>>[C@@:1](/[C:2](=[C:3](/[O-:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])([H:7])([H:8])[P@@+:13]([H:14])([H:15])[H:16],C=CC(=O)OC.P,CO/C([O-])=C\C[P@@H3+],3.0,[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8].[P:13]([H:14])([H:15])[H:16],[C@@:1](/[C:2](=[C:3](/[O-:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])([H:7])([H:8])[P@@+:13]([H:14])([H:15])[H:16]
7,[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8].[P:13]([H:14])([H:15])[H:16]>>[C@:1]([C:2](=[C:3]=[O:4])[H:9])([H:7])([H:8])[H:14].[O:5]([C@:6]([H:10])([H:11])[H:12])[P:13]([H:15])[H:16],C=CC(=O)OC.P,CC=C=O.COP,3.0,[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8].[P:13]([H:14])([H:15])[H:16],[C@:1]([C:2](=[C:3]=[O:4])[H:9])([H:7])([H:8])[H:14].[O:5]([C@:6]([H:10])([H:11])[H:12])[P:13]([H:15])[H:16]
8,[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8].[P:13]([H:14])([H:15])[H:16]>>[C@@:1](/[C:2](=[C:3](/[O:4][P:13]([H:14])[H:16])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])([H:7])([H:8])[H:15],C=CC(=O)OC.P,C/C=C(\OC)OP,2.0,[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8].[P:13]([H:14])([H:15])[H:16],[C@@:1](/[C:2](=[C:3](/[O:4][P:13]([H:14])[H:16])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])([H:7])([H:8])[H:15]
9,[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8].[P:13]([H:14])([H:15])[H:16]>>[C@@:1](/[C:2](=[C:3](/[O-:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])([H:7])([H:8])[P@+:13]([H:14])([H:15])[H:16],C=CC(=O)OC.P,CO/C([O-])=C\C[P@H3+],2.0,[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8].[P:13]([H:14])([H:15])[H:16],[C@@:1](/[C:2](=[C:3](/[O-:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])([H:7])([H:8])[P@+:13]([H:14])([H:15])[H:16]
10,[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8].[P:13]([H:14])([H:15])[H:16]>>[C@:1]([C:2](=[C:3]=[O:4])[H:9])([H:7])([H:8])[H:15].[O:5]([C@:6]([H:10])([H:11])[H:12])[P:13]([H:14])[H:16],C=CC(=O)OC.P,CC=C=O.COP,2.0,[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8].[P:13]([H:14])([H:15])[H:16],[C@:1]([C:2](=[C:3]=[O:4])[H:9])([H:7])([H:8])[H:15].[O:5]([C@:6]([H:10])([H:11])[H:12])[P:13]([H:14])[H:16]
11,[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8].[P:13]([H:14])([H:15])[H:16]>>[C-:1](/[C:2](=[C:3](\[O:4][P:13]([H:15])[H:16])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])([H:7])[H:8].[H+:14],C=CC(=O)OC.P,[CH2-]/C=C(/OC)OP.[H+],2.0,[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8].[P:13]([H:14])([H:15])[H:16],[C-:1](/[C:2](=[C:3](\[O:4][P:13]([H:15])[H:16])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])([H:7])[H:8].[H+:14]
12,[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8].[P:13]([H:14])([H:15])[H:16]>>[C@@:1]([C@@:2]([C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])([H:9])[P:13]([H:15])[H:16])([H:7])([H:8])[H:14],C=CC(=O)OC.P,COC(=O)[C@@H](C)P,2.0,[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8].[P:13]([H:14])([H:15])[H:16],[C@@:1]([C@@:2]([C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])([H:9])[P:13]([H:15])[H:16])([H:7])([H:8])[H:14]
13,[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8].[P:13]([H:14])([H:15])[H:16]>>[C@:1](/[C:2](=[C:3](/[O-:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])([H:7])([H:8])[P@@+:13]([H:14])([H:15])[H:16],C=CC(=O)OC.P,CO/C([O-])=C\C[P@@H3+],2.0,[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8].[P:13]([H:14])([H:15])[H:16],[C@:1](/[C:2](=[C:3](/[O-:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])([H:7])([H:8])[P@@+:13]([H:14])([H:15])[H:16]
14,[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8].[P:13]([H:14])([H:15])[H:16]>>[C@:1]1([H:7])([H:8])[C@:2]([C-:3]([O-:4])[O:5][C@:6]([H:10])([H:11])[H:12])([H:9])[P@+:13]1([H:14])[H:16].[H+:15],C=CC(=O)OC.P,CO[C-]([O-])[C@@H]1C[P@H2+]1.[H+],1.0,[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8].[P:13]([H:14])([H:15])[H:16],[C@:1]1([H:7])([H:8])[C@:2]([C-:3]([O-:4])[O:5][C@:6]([H:10])([H:11])[H:12])([H:9])[P@+:13]1([H:14])[H:16].[H+:15]
